,[1] Accuracy,[1] Steps,[1] Time,[2] Accuracy,[2] Steps,[2] Time,[3] Accuracy,[3] Steps,[3] Time
178,74.35897435897436,39.0,20.208003044128414,92.10526315789473,38.0,195.9783186912537,91.8918918918919,37.0,555.9309470653534
179,85.71428571428571,21.0,18.630367517471317,85.0,20.0,190.75513744354248,84.21052631578947,19.0,623.1594741344453
180,77.7777777777778,9.0,18.613988637924194,87.5,8.0,184.64669609069824,85.71428571428571,7.0,588.3691077232362
181,78.57142857142857,28.0,19.343016862869266,77.7777777777778,27.0,189.5827910900116,80.76923076923076,26.0,614.7700610160828
182,77.35849056603773,53.0,20.79649114608765,76.92307692307693,52.0,198.6434986591339,70.58823529411767,51.0,616.2402551174164
183,75.0,36.0,19.63709664344788,82.85714285714286,35.0,200.73383450508118,76.47058823529412,34.0,612.0969817638397
184,79.62962962962962,54.0,20.92921733856201,81.13207547169812,53.0,203.9259874820709,78.84615384615384,52.0,602.8822112083435
185,16.666666666666664,12.0,18.70702409744263,36.36363636363637,11.0,192.3661766052246,30.0,10.0,568.7326958179474
186,57.02479338842975,242.0,33.99259877204895,57.67634854771785,241.0,245.6317629814148,57.49999999999999,240.0,696.5340578556061
187,58.33333333333334,12.0,18.931413173675534,54.54545454545454,11.0,195.55450415611267,40.0,10.0,518.1144294738771
188,31.25,16.0,21.05287480354309,80.0,15.0,194.63319182395932,85.71428571428571,14.0,486.7132272720337
189,29.411764705882355,17.0,19.459604024887085,31.25,16.0,190.40664434432983,73.33333333333333,15.0,514.4664661884308
190,57.894736842105274,19.0,18.54526782035828,61.111111111111114,18.0,187.49604868888855,76.47058823529412,17.0,638.6665179729463
191,94.73684210526315,38.0,20.75144362449646,97.2972972972973,37.0,193.03523516654968,97.2222222222222,36.0,550.4898402690886
192,59.315589353612154,263.0,34.932447671890266,59.54198473282442,262.0,256.17608618736267,60.15325670498084,261.0,602.8393380641937
193,42.857142857142854,35.0,22.756032466888428,76.47058823529412,34.0,196.5122187137604,63.63636363636363,33.0,660.8406431674957
194,42.105263157894726,19.0,19.3754141330719,72.2222222222222,18.0,196.6027750968933,82.35294117647058,17.0,626.8208456039429
195,55.555555555555564,9.0,19.0475389957428,37.5,8.0,189.86270332336426,42.857142857142854,7.0,630.9071433544159
196,57.894736842105274,19.0,20.29535531997681,55.555555555555564,18.0,199.7639617919922,88.23529411764706,17.0,566.941370010376
197,58.82352941176471,17.0,20.863727807998657,43.75,16.0,193.9305236339569,46.66666666666666,15.0,524.4207344055177
198,55.00000000000001,20.0,20.92176628112793,84.21052631578947,19.0,190.32929730415344,88.8888888888889,18.0,501.5028400421143
199,65.85365853658537,41.0,21.09888195991516,62.5,40.0,195.49547696113584,71.7948717948718,39.0,598.4944207668303
201,36.36363636363637,22.0,21.90960812568665,76.19047619047619,21.0,193.81420040130612,85.0,20.0,619.9222798347472
202,70.58823529411767,17.0,21.61724829673767,68.75,16.0,192.81857347488403,66.66666666666666,15.0,616.0893580913544
204,60.0,15.0,20.179100036621094,42.857142857142854,14.0,192.0142226219177,53.846153846153854,13.0,599.792690038681
205,90.7894736842105,228.0,33.546968460083015,92.95154185022028,227.0,258.5125970840454,92.92035398230087,226.0,707.4655547142029
206,56.75675675675675,37.0,23.820315837860107,75.0,36.0,206.04926681518555,71.42857142857143,35.0,533.9845364093779
207,64.44444444444444,45.0,22.90223217010498,84.0909090909091,44.0,201.97373151779172,72.09302325581395,43.0,602.3301529884337
208,60.0,25.0,21.4208779335022,91.66666666666666,24.0,199.85003972053528,78.26086956521739,23.0,608.4128420352937
210,70.73170731707317,41.0,22.960113525390625,67.5,40.0,203.12686228752136,69.23076923076923,39.0,607.2146368026732
211,83.33333333333334,24.0,22.596974611282352,69.56521739130434,23.0,201.68533396720886,86.36363636363636,22.0,584.7785263061522
212,68.42105263157895,19.0,22.833558320999146,55.555555555555564,18.0,200.2689917087555,70.58823529411767,17.0,572.2449944019318
213,59.25925925925925,54.0,24.978540182113647,69.81132075471697,53.0,215.96757435798645,75.0,52.0,626.558039188385
214,76.19047619047619,21.0,23.755330562591553,80.0,20.0,197.8354496955872,84.21052631578947,19.0,618.1444609165193
215,45.45454545454545,11.0,21.75462222099304,30.0,10.0,192.9597976207733,55.555555555555564,9.0,624.0531451702117
216,82.35294117647058,17.0,22.706861734390262,62.5,16.0,191.60585045814514,80.0,15.0,668.296142578125
217,62.0,50.0,25.35633111000061,61.224489795918366,49.0,201.49946784973145,70.83333333333334,48.0,649.0788130760193
218,50.0,30.0,24.16554546356201,68.96551724137932,29.0,199.3333032131195,67.85714285714286,28.0,644.0614197254181
219,85.71428571428571,14.0,22.36026072502136,92.30769230769229,13.0,195.61783695220947,91.66666666666666,12.0,627.1164321899414
220,87.5,32.0,23.401156902313232,93.54838709677419,31.0,201.9391231536865,90.0,30.0,656.3532719612123
221,93.33333333333331,15.0,22.275495529174805,92.85714285714286,14.0,194.08858585357663,100.0,13.0,647.8056814670563
222,58.82352941176471,85.0,27.53026390075684,70.23809523809523,84.0,222.3037052154541,73.49397590361446,83.0,655.0799486637114
223,0.0,12.0,21.704954624176025,9.090909090909092,11.0,197.1670615673065,20.0,10.0,605.5007071495056
224,42.857142857142854,14.0,22.867505073547363,30.76923076923077,13.0,199.28331279754642,75.0,12.0,588.7359421253203
225,89.2857142857143,28.0,22.83081579208374,88.8888888888889,27.0,208.8586318492889,88.46153846153845,26.0,608.2826614379883
226,71.42857142857143,14.0,22.317152500152588,76.92307692307693,13.0,198.31778883934018,75.0,12.0,586.6978759765625
227,86.4864864864865,37.0,25.66855096817017,88.8888888888889,36.0,208.74518060684204,88.57142857142857,35.0,550.5504486560822
228,70.45454545454545,44.0,26.667230129241943,81.3953488372093,43.0,215.4660446643829,73.80952380952381,42.0,540.8804748058319
229,86.046511627907,43.0,24.78888988494873,88.09523809523809,42.0,211.11960577964783,87.8048780487805,41.0,534.4067251682281
230,38.46153846153847,13.0,23.89169716835022,25.0,12.0,195.3475408554077,72.72727272727273,11.0,596.9723021984099
231,89.18918918918921,37.0,24.0924289226532,91.66666666666666,36.0,207.42042779922485,88.57142857142857,35.0,609.4638795852661
232,45.45454545454545,22.0,23.61483764648437,42.857142857142854,21.0,207.12850213050842,65.0,20.0,603.3428614139558
233,88.8888888888889,9.0,25.08192443847656,100.0,8.0,206.1121983528137,100.0,7.0,656.2034986019136
234,42.857142857142854,14.0,22.816311597824093,69.23076923076923,13.0,197.1548278331757,75.0,12.0,652.1505222320558
235,29.411764705882355,17.0,23.06019353866577,87.5,16.0,208.612419128418,80.0,15.0,657.8226170539856
236,88.23529411764706,34.0,24.883294582366943,90.9090909090909,33.0,201.47842288017276,90.625,32.0,662.9648985862733
237,92.0,25.0,26.10768413543701,91.66666666666666,24.0,202.55242085456848,100.0,23.0,646.9040133953093
238,50.0,24.0,23.846949577331547,78.26086956521739,23.0,202.94872188568115,81.81818181818183,22.0,582.4923040866853
